NAME                                                                                 VERSION                                                  TYPE                           
@agentclientprotocol/sdk                                                             0.22.1                                                   npm                             
@ai-sdk/amazon-bedrock                                                               4.0.133                                                  npm                             
@ai-sdk/anthropic                                                                    3.0.96                                                   npm                             
@ai-sdk/gateway                                                                      3.0.147                                                  npm                             
@ai-sdk/google                                                                       3.0.91                                                   npm                             
@ai-sdk/google-vertex                                                                4.0.159                                                  npm                             
@ai-sdk/mistral                                                                      3.0.48                                                   npm                             
@ai-sdk/openai                                                                       3.0.84                                                   npm                             
@ai-sdk/openai-compatible                                                            2.0.59                                                   npm                             
@ai-sdk/provider                                                                     2.0.3                                                    npm                             
@ai-sdk/provider                                                                     3.0.14                                                   npm                             
@ai-sdk/provider                                                                     3.0.8                                                    npm                             
@ai-sdk/provider-utils                                                               3.0.28                                                   npm                             
@ai-sdk/provider-utils                                                               4.0.38                                                   npm                             
@anthropic-ai/claude-agent-sdk                                                       0.2.112                                                  npm                             
@anthropic-ai/claude-agent-sdk                                                       0.3.206                                                  npm                             
@anthropic-ai/claude-agent-sdk-linux-x64                                             0.3.206                                                  npm                             
@anthropic-ai/sdk                                                                    0.100.1                                                  npm                             
@anthropic-ai/sdk                                                                    0.111.0                                                  npm                             
@anthropic-ai/sdk                                                                    0.81.0                                                   npm                             
@anthropic-ai/sdk                                                                    0.82.0                                                   npm           (+1 duplicate)    
@aws-sdk/core                                                                        3.975.1                                                  npm                             
@aws-sdk/credential-provider-cognito-identity                                        3.972.56                                                 npm                             
@aws-sdk/credential-provider-env                                                     3.972.57                                                 npm                             
@aws-sdk/credential-provider-http                                                    3.972.59                                                 npm                             
@aws-sdk/credential-provider-ini                                                     3.973.1                                                  npm                             
@aws-sdk/credential-provider-login                                                   3.972.63                                                 npm                             
@aws-sdk/credential-provider-node                                                    3.972.66                                                 npm                             
@aws-sdk/credential-provider-process                                                 3.972.57                                                 npm                             
@aws-sdk/credential-provider-sso                                                     3.973.1                                                  npm                             
@aws-sdk/credential-provider-web-identity                                            3.972.63                                                 npm                             
@aws-sdk/credential-providers                                                        3.1085.0                                                 npm                             
@aws-sdk/nested-clients                                                              3.997.31                                                 npm                             
@aws-sdk/signature-v4-multi-region                                                   3.996.39                                                 npm                             
@aws-sdk/token-providers                                                             3.1083.0                                                 npm                             
@aws-sdk/types                                                                       3.974.0                                                  npm                             
@aws-sdk/xml-builder                                                                 3.972.34                                                 npm                             
@aws/lambda-invoke-store                                                             0.3.0                                                    npm                             
@azure/abort-controller                                                              2.1.2                                                    npm           (+1 duplicate)    
@azure/core-auth                                                                     1.10.1                                                   npm           (+1 duplicate)    
@azure/core-auth                                                                     1.7.2                                                    npm                             
@azure/core-client                                                                   1.10.1                                                   npm                             
@azure/core-rest-pipeline                                                            1.16.3                                                   npm                             
@azure/core-rest-pipeline                                                            1.23.0                                                   npm                             
@azure/core-tracing                                                                  1.3.1                                                    npm           (+1 duplicate)    
@azure/core-util                                                                     1.13.1                                                   npm           (+1 duplicate)    
@azure/identity                                                                      4.13.1                                                   npm                             
@azure/logger                                                                        1.3.0                                                    npm           (+1 duplicate)    
@azure/msal-browser                                                                  5.16.0                                                   npm                             
@azure/msal-common                                                                   16.11.0                                                  npm                             
@azure/msal-node                                                                     5.3.1                                                    npm                             
@azure/opentelemetry-instrumentation-azure-sdk                                       1.0.0-beta.5                                             npm                             
@babel/runtime                                                                       7.27.1                                                   npm                             
@babel/runtime                                                                       7.29.2                                                   npm                             
@babel/runtime                                                                       7.29.7                                                   npm           (+1 duplicate)    
@borewit/text-codec                                                                  0.2.2                                                    npm                             
